Country,Nominal 2023 GDP (EUR Billions)
Albania,21.880399999999998
Austria,499.8729
Belarus,65.4208
Belgium,596.13545
Bosnia and Herzegovina,25.597749999999998
Bulgaria,97.94405
Croatia,76.17575
Czech Republic,318.48085
Denmark,399.76
Estonia,39.70905
Finland,290.40455000000003
France,2896.5652
Germany,4208.3461
Greece,230.26574999999997
Hungary,193.63755
Iceland,29.0415
Ireland,560.0905499999999
Italy,2076.7778999999996
Jersey,6.62515
Kosovo,9.945549999999999
Latvia,44.334599999999995
Liechtenstein,7.435364999999999
Lithuania,75.45565
Luxembourg,84.64025
Malta,19.29545
Moldova,15.2
Montenegro,6.7051
Netherlands,1038.1106
North Macedonia,15.01095
Norway,519.4296
Poland,800.0634
Portugal,262.6104
Romania,332.89329999999995
Russia,1769.3464999999999
San Marino,1.8981
Serbia,71.26425
Slovak Republic,126.3918
Slovenia,64.9743
Spain,1502.9513
Sweden,567.2545
Switzerland,860.3997999999999
Ukraine,164.74235000000002
United Kingdom,3165.4560500000002
