,name,population
0,Jersey,100800
1,Iceland,366425
2,Malta,525285
3,Montenegro,621718
4,Luxembourg,632275
5,Cyprus,1207361
6,Estonia,1331057
7,Kosovo,1775378
8,Latvia,1901548
9,North Macedonia,2077132
10,Slovenia,2100126
11,Moldova,2617820
12,Lithuania,2794700
13,Albania,2837743
14,Bosnia and Herzegovina,3280815
15,Croatia,4047200
16,Ireland,4994724
17,Norway,5379475
18,Slovakia,5458827
19,Finland,5530719
20,Denmark,5831404
21,Serbia,6908224
22,Bulgaria,6927288
23,Switzerland,8654622
24,Austria,8917205
25,Belarus,9398861
26,Hungary,9749763
27,Portugal,10305564
28,Sweden,10353442
29,Czechia,10698896
30,Greece,10715549
31,Belgium,11555997
32,Netherlands,16655799
33,Romania,19286123
34,Poland,37950802
35,Ukraine,44134693
36,Spain,47351567
37,Italy,59554023
38,United Kingdom,67215293
39,France,67391582
40,Germany,83240525
41,Russia,144104080
