Country,MSCI_IVA_Adjusted_Mean,MSCI_AGR_Var_Mean,MSCI_Goverance_Score_Mean
Austria,7.861111111111111,5.12962962962963,6.848648648648648
Belgium,7.961538461538462,4.89908256880734,6.62037037037037
Bulgaria,,3.619047619047619,
Croatia,,4.863636363636363,
Cyprus,,4.666666666666667,
Denmark,8.444444444444445,4.867256637168142,7.920754716981132
Estonia,,6.8,
Finland,8.979166666666666,4.690140845070423,7.712000000000001
France,8.165714285714285,4.855477855477855,6.7250000000000005
Germany,7.971014492753623,4.661616161616162,6.719617224880383
Greece,7.733333333333333,4.862068965517241,6.3047619047619055
Hungary,,4.235294117647059,
Iceland,,5.291666666666667,
Ireland,8.14,4.756410256410256,7.559615384615385
Italy,7.544642857142857,4.525925925925926,6.626086956521739
Jersey,7.7,4.724137931034483,7.2700000000000005
Luxembourg,7.2105263157894735,4.18,6.143243243243243
Netherlands,8.447058823529412,4.871794871794871,7.371428571428572
Norway,8.470588235294118,4.662280701754386,7.705970149253731
Poland,7.291666666666667,4.675675675675675,6.43235294117647
Portugal,7.9,4.054054054054054,6.615
Romania,,5.517857142857143,
Russia,,4.542056074766355,
Slovenia,,5.357142857142857,
Spain,7.883116883116883,4.624277456647399,6.825925925925926
Sweden,8.030701754385966,4.3,7.205217391304348
Switzerland,8.149068322981366,4.697368421052632,7.3202453987730065
United Kingdom,8.25912408759124,4.6765765765765765,7.831083481349911
